Set,PriceEuro,Pieces,Minifigs
Jay's Storm Fighter,,490,4
Cole's Earth Driller,,587,4 (1 unique to this set)
Monastery of Spinjitzu,,1070,8 (1 unique to this set)
Lloyd's Journey,,81,2 (1 unique to this set)
Cole's Dirt Bike,,212,3
Shuricopter,,361,3 (2 unique to this set)
Fire Fang,,463,4 (2 unique to this set)
Katana 4X4,,450,5 (2 unique to this set)
Lloyd's Titan Mech,,876,6 (2 unique to this set)
Land Bounty,,1178,9 (2 unique to this set)
Castle of the Forsaken Emperor,,1218,7 (2 unique to this set)
The Ultra Dragon,,951,6
Monastery Training,,122,2
Spinjitzu Slam - Lloyd,,70,1
Spinjitzu Slam - Jay,,72,1
Spinjitzu Slam - Zane,,63,1 (1 unique to this set)
Spinjitzu Slam - Kai vs. Samurai,,164,2
LEGO Movie Maker,,482,6 (5 unique to this set)
Emmet and Benny's 'Build and Fix' Workshop!,,117,2
Unikitty's Sweetest Friends EVER!,,76,3 (3 unique to this set)
Emmet's Thricycle!,,174,1
Introducing Queen Watevra Wa'Nabi,,115,4 (3 unique to this set)
Queen Watevra's Build Whatever Box!,,455,
Rex's Rex-treme Offroader!,,236,2
Ultrakatty & Warrior Lucy!,,348,2
Pop-Up Party Bus,,1024,4 (3 unique to this set)
Emmet and Lucy's Escape Buggy!,,550,4 (2 unique to this set)
Sweet Mayhem's Systar Starship!,,502,3 (1 unique to this set)
Emmet's Dream House/Rescue Rocket!,,706,4 (2 unique to this set)
Emmet's Builder Box!,,125,1
Lucy's Builder Box!,,141,2 (1 unique to this set)
MetalBeard's Heavy Metal Motor Trike!,,461,2 (2 unique to this set)
Rex's Rexplorer!,,1187,2
Battle-Ready Batman and MetalBeard,,168,2 (2 unique to this set)
Shimmer & Shine Sparkle Spa!,,691,8 (8 unique to this set)
Queen Watevra's 'So-Not-Evil' Space Palace,,995,5 (5 unique to this set)
The Rexcelsior!,,1826,4 (4 unique to this set)
Welcome to Apocalypseburg!,,3178,13 (11 unique to this set)
Benny's Space Squad,,68,5 (2 unique to this set)
Emmet's Triple-Decker Couch Mech,,312,3 (1 unique to this set)
Good Morning Sparkle Babies!,,50,4 (4 unique to this set)
Systar Party Crew,,196,2 (1 unique to this set)
Wyld-Mayhem Star Fighter,,405,4 (4 unique to this set)
LEGO Minifigures - The LEGO Movie 2 Series {Random bag},,,
Awesome Remix Emmet,,7,1
Battle-Ready Lucy,,8,1
Apocalypse Benny,,8,1
Giraffe Guy,,6,1
Crayon Girl,,6,1
Sherry Scratchen-Post & Scarfield,,6,1
Hula Lula,,8,1
Watermelon Dude,,6,1
Flashback Lucy,,7,1
Swamp Creature,,6,1
Candy Rapper,,8,1
Gone Golfin' President Business,,6,1
Apocalypseburg Abe,,7,1
Vest Friend Rex,,6,1
Kitty Pop,,7,1
Dorothy Gale & Toto,,7,1
Cowardly Lion,,6,1
Scarecrow,,6,1
Tin Man,,8,1
Unikitty,,15,1
LEGO Minifigures - The LEGO Movie 2 Series - Complete,,144,20
LEGO Minifigures - The LEGO Movie 2 Series - Sealed Box,,,
LEGO Minifigures - Disney Series 2 {Random bag},,,
